Address  Ordinal Name                                                     Library                                                                     
-------  ------- ----                                                     -------                                                                     
00598378         _xmlTextReaderValue                                      /usr/lib/libxml2.2.dylib                                                    
00598374         _xmlTextReaderRead                                       /usr/lib/libxml2.2.dylib                                                    
00598370         _xmlTextReaderNodeType                                   /usr/lib/libxml2.2.dylib                                                    
0059836C         _xmlTextReaderIsEmptyElement                             /usr/lib/libxml2.2.dylib                                                    
00598368         _xmlTextReaderConstName                                  /usr/lib/libxml2.2.dylib                                                    
00598364         _xmlStrEqual                                             /usr/lib/libxml2.2.dylib                                                    
00598360         _xmlReaderForMemory                                      /usr/lib/libxml2.2.dylib                                                    
0059835C         _xmlFree                                                 /usr/lib/libxml2.2.dylib                                                    
0059834C         _write                                                   /usr/lib/libSystem.B.dylib                                                  
00598348         _wcstol                                                  /usr/lib/libSystem.B.dylib                                                  
00598344         _wcsstr                                                  /usr/lib/libSystem.B.dylib                                                  
00598340         _wcslen                                                  /usr/lib/libSystem.B.dylib                                                  
0059833C         _wcscpy                                                  /usr/lib/libSystem.B.dylib                                                  
00598338         _wcscmp                                                  /usr/lib/libSystem.B.dylib                                                  
00598334         _wcschr                                                  /usr/lib/libSystem.B.dylib                                                  
00598330         _waitpid                                                 /usr/lib/libSystem.B.dylib                                                  
0059832C         _uuid_unparse                                            /usr/lib/libSystem.B.dylib                                                  
00598328         _uuid_generate                                           /usr/lib/libSystem.B.dylib                                                  
00598324         _uname                                                   /usr/lib/libSystem.B.dylib                                                  
00598320         _timegm                                                  /usr/lib/libSystem.B.dylib                                                  
0059831C         _time                                                    /usr/lib/libSystem.B.dylib                                                  
00598318         _sysctlbyname                                            /usr/lib/libSystem.B.dylib                                                  
00598314         _sysctl                                                  /usr/lib/libSystem.B.dylib                                                  
00598310         _strtoull                                                /usr/lib/libSystem.B.dylib                                                  
0059830C         _strtol                                                  /usr/lib/libSystem.B.dylib                                                  
00598308         _strtok                                                  /usr/lib/libSystem.B.dylib                                                  
00598304         _strstr                                                  /usr/lib/libSystem.B.dylib                                                  
00598300         _strptime                                                /usr/lib/libSystem.B.dylib                                                  
005982FC         _strpbrk                                                 /usr/lib/libSystem.B.dylib                                                  
005982F8         _strncmp                                                 /usr/lib/libSystem.B.dylib                                                  
005982F4         _strncasecmp                                             /usr/lib/libSystem.B.dylib                                                  
005982F0         _strlen                                                  /usr/lib/libSystem.B.dylib                                                  
005982EC         _strerror_r                                              /usr/lib/libSystem.B.dylib                                                  
005982E8         _strdup                                                  /usr/lib/libSystem.B.dylib                                                  
005982E4         _strcspn                                                 /usr/lib/libSystem.B.dylib                                                  
005982E0         _strcmp                                                  /usr/lib/libSystem.B.dylib                                                  
005982DC         _strchr                                                  /usr/lib/libSystem.B.dylib                                                  
005982D8         _strcasecmp                                              /usr/lib/libSystem.B.dylib                                                  
005982D4         _sscanf                                                  /usr/lib/libSystem.B.dylib                                                  
005982D0         _srandom                                                 /usr/lib/libSystem.B.dylib                                                  
005982CC         _srand                                                   /usr/lib/libSystem.B.dylib                                                  
005982C8         _socket                                                  /usr/lib/libSystem.B.dylib                                                  
005982C4         _snprintf                                                /usr/lib/libSystem.B.dylib                                                  
005982C0         _sleep                                                   /usr/lib/libSystem.B.dylib                                                  
005982BC         _sinf                                                    /usr/lib/libSystem.B.dylib                                                  
005982B8         _sin                                                     /usr/lib/libSystem.B.dylib                                                  
005982B4         _signal                                                  /usr/lib/libSystem.B.dylib                                                  
005982B0         _setsockopt                                              /usr/lib/libSystem.B.dylib                                                  
005982AC         _send                                                    /usr/lib/libSystem.B.dylib                                                  
005982A8         _select                                                  /usr/lib/libSystem.B.dylib                                                  
00598AEC         _sel_getName                                             /usr/lib/libobjc.A.dylib                                                    
005982A4         _roundf                                                  /usr/lib/libSystem.B.dylib                                                  
005982A0         _recv                                                    /usr/lib/libSystem.B.dylib                                                  
0059829C         _realloc                                                 /usr/lib/libSystem.B.dylib                                                  
00598298         _read                                                    /usr/lib/libSystem.B.dylib                                                  
00598294         _random                                                  /usr/lib/libSystem.B.dylib                                                  
00598290         _rand                                                    /usr/lib/libSystem.B.dylib                                                  
0059828C         _qsort                                                   /usr/lib/libSystem.B.dylib                                                  
00598288         _pthread_setspecific                                     /usr/lib/libSystem.B.dylib                                                  
00598284         _pthread_setname_np                                      /usr/lib/libSystem.B.dylib                                                  
